"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 19 06:54:12 CDT 2022","Wed Oct 19 06:54:17 CDT 2022","5613","","pageobjectmodel/SignInPO.spec.js","","","","@this As user i will be able to login into ecommmerce page2",""
"passed","Wed Oct 19 06:54:12 CDT 2022","Wed Oct 19 06:54:17 CDT 2022","5641","","pageobjectmodel/SignInPO.spec.js","","","","@this As user i will be able to login into ecommmerce page4",""
